title,artist,mood
It'll Be Okay,Rachel Grae,heartbreak
Me,Kelly Clarkson,heartbreak
Man I Need,Olivia Dean,in love
WHERE IS MY HUSBAND,RAYE,in love
For Tonight,GIVEON,late night
Top Down,3Quency,late night
Mosh Pit (Meaux Green & Party Favor Remix),Flosstradamus ft. Casino,villain era
NISSAN ALTIMA,Doechii,villain era
Midnight Sun (Super Loud),Zara Larsson,hot girl walk
IS IT,Tyla,hot girl walk
Misery Business,Paramore,karaoke
Beautiful Soul,Jesse McCartney,karaoke
Little Girl Gone,CHINCHILLA,rage
My Songs Know What You Did In The Dark,Fall Out Boy,rage
You're Still The One,Teddy Swims,sunday morning
That Part,Lauren Spencer Smith,sunday morning
