title,artist,mood
It'll Be Okay,Rachel Grae,heartbreak
Me,Kelly Clarkson,heartbreak
homies,Sant Harison ft. Tiana Major 9,heartbreak
It Only Cost Everything,Victor Ray,heartbreak
Around Me,No Guidnce,heartbreak
Ain't Had,Donzell Taggart,heartbreak
Midnight Sun (Super Loud),Zara Larsson,hot girl walk
IS IT,Tyla,hot girl walk
Dientes,"J Balvin Ft. USHER, DJ Khaled",hot girl walk
12 to 12,sombr,hot girl walk
Boy is Yours,Kylie Cantrall,hot girl walk
Big Pimpin,Jay  Z ft. UGK,hot girl walk
Love Again,Alex Isley ft. Jack Dine,in love
Man I Need,Olivia Dean,in love
WHERE IS MY HUSBAND,RAYE,in love
First Time,TEEKS,in love
black like you,Joseph Solomon,in love
LETTER TO YOU,Antonio Sanders,in love
Misery Business,Paramore,karaoke
Beautiful Soul,Jesse McCartney,karaoke
I Bet U Won't,Mouse and Level,karaoke
Down,Jay Sean ft. Lil Wayne,karaoke
Bad Romance,Lady Gaga,karaoke
Unwritten,Natasha Bedingfield,karaoke
Body,Don Toliver,late night
For Tonight,GIVEON,late night
Top Down,3Quency,late night
MUTT - Chopped and Screwed,Leon Thomas ft. OG Ron C,late night
That's You,Lucky Daye,late night
Fool For You,Fetty Wap,late night
Little Girl Gone,CHINCHILLA,rage
My Songs Know What You Did In The Dark,Fall Out Boy,rage
Purple Lamborghini,Skrillex ft. Rick Ross,rage
10 Things I Hate About You,Leah Kate,rage
Teeth,5 Seconds of Summer,rage
DNA,Kendrick Lamar,rage
You're Still The One,Teddy Swims,sunday morning
That Part,Lauren Spencer Smith,sunday morning
Sugar (Remix),BROCKHAMPTION ft. Dua Lipa,sunday morning
Sun Comes Down,Fridayy,sunday morning
You're So You,Lloyiso,sunday morning
Better,Khalid,sunday morning
Mosh Pit (Meaux Green & Party Favor Remix),Flosstradamus ft. Casino,villain era
NISSAN ALTIMA,Doechii,villain era
All There,Jeezy ft. Bankroll Fresh,villain era
Not Your Barbie Girl,Ava Max,villain era
Gatti,"JACKBOYS ft. Pop Smoke, Travis Scott",villain era
Don't Know How to Act,Flo Rida ft. Yung Joc,villain era
